country_code,wave,wave_label,age_band,n,share
IT,3,"W3
2000",25-29,191,18.579766536964982
IT,3,"W3
2000",30-34,235,22.859922178988327
IT,3,"W3
2000",35-39,212,20.622568093385212
IT,3,"W3
2000",40-45,244,23.73540856031128
IT,4,"W4
2005",18-24,125,20.833333333333336
IT,4,"W4
2005",25-29,104,17.333333333333336
IT,4,"W4
2005",30-34,118,19.666666666666664
IT,4,"W4
2005",35-39,108,18
IT,4,"W4
2005",40-45,145,24.166666666666668
IT,5,"W5
2010",18-24,89,10.022522522522523
IT,5,"W5
2010",25-29,117,13.175675675675674
IT,5,"W5
2010",30-34,166,18.693693693693696
IT,5,"W5
2010",35-39,206,23.1981981981982
IT,5,"W5
2010",40-45,310,34.909909909909906
IT,6,"W6
2015",18-24,39,6.239999999999999
IT,6,"W6
2015",25-29,74,11.84
IT,6,"W6
2015",30-34,102,16.32
IT,6,"W6
2015",35-39,166,26.56
IT,6,"W6
2015",40-45,244,39.04
IT,8,"W8
2024",18-24,65,13.402061855670103
IT,8,"W8
2024",25-29,73,15.051546391752577
IT,8,"W8
2024",30-34,86,17.7319587628866
IT,8,"W8
2024",35-39,109,22.474226804123713
IT,8,"W8
2024",40-45,152,31.34020618556701
LT,3,"W3
2000",18-24,90,13.93188854489164
LT,3,"W3
2000",25-29,109,16.873065015479877
LT,3,"W3
2000",30-34,143,22.13622291021672
LT,3,"W3
2000",35-39,150,23.219814241486066
LT,3,"W3
2000",40-45,154,23.8390092879257
LT,4,"W4
2005",18-24,70,11.494252873563218
LT,4,"W4
2005",25-29,77,12.643678160919542
LT,4,"W4
2005",30-34,120,19.704433497536947
LT,4,"W4
2005",35-39,157,25.779967159277504
LT,4,"W4
2005",40-45,185,30.377668308702795
LT,5,"W5
2010",18-24,58,11.306042884990253
LT,5,"W5
2010",25-29,88,17.15399610136452
LT,5,"W5
2010",30-34,92,17.93372319688109
LT,5,"W5
2010",35-39,115,22.417153996101362
LT,5,"W5
2010",40-45,160,31.189083820662766
LT,6,"W6
2015",18-24,60,12.84796573875803
